run_id,knn_k,num_clusters,selection_score,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,num_trials
k36__C32,36,32,1.011679396344835,0.7422649908550861,0.003457320685497618,0.26941440548974877,0.0023817200053379856,3
k36__C36,36,36,1.0135906784781918,0.7442881124766232,0.0021009187140124605,0.2693025660015687,0.0034774865582573493,3
k36__C40,36,40,1.0110599832899219,0.7434193379419144,0.0024410630103036206,0.2676406453480074,0.0017895051951754095,3
k36__C48,36,48,1.0104906786101584,0.7424064397157357,0.0008240623415681136,0.26808423889442273,0.003950470812085774,3
k48__C16,48,16,1.0129692862955615,0.7457849049121149,0.0025387637368392314,0.26718438138344663,0.000497587754165103,3
k48__C20,48,20,1.0102262845070107,0.7428780597118593,0.003221117346073178,0.2673482247951515,0.004353766559845744,3
k48__C24,48,24,1.0119449039067498,0.7439235854595515,0.004796485092234185,0.2680213184471984,0.0026465000630860884,3
k48__C28,48,28,1.0116553240563348,0.7439731158460853,0.0037753271994776963,0.26768220821024963,0.0030019486333000035,3
k48__C32,48,32,1.0131348578163055,0.7434014796048346,0.002918088520787671,0.26973337821147086,0.0030114809751111103,3
k48__C36,48,36,1.014799783471046,0.7455782592203617,0.0019387708613444125,0.2692215242506843,0.0041772791003276905,3
k48__C40,48,40,1.0139795576641872,0.744793013363684,0.002741560081945981,0.26918654430050315,0.003838188451561148,3
k48__C48,48,48,1.0121543912205093,0.7437256635287034,0.0018876279504411939,0.26842872769180587,0.0037505511105363994,3
k64__C16,64,16,1.0138659353781945,0.7461869341883519,0.002889997278757582,0.26767900118984267,0.0008238887393113896,3
k64__C20,64,20,1.0118347224571964,0.7429816778739236,0.0033895196337890066,0.26885304458327286,0.003101106588664311,3
k64__C24,64,24,1.0110164395492254,0.7436552801656303,0.006189501849299304,0.267361159383595,0.0028086796591121244,3
k64__C28,64,28,1.009940446658219,0.7429639208219715,0.0027811992685322687,0.2669765258362475,0.003606954286605331,3
k64__C32,64,32,1.014265497939972,0.7441722446711494,0.0033758319936583077,0.27009325326882244,0.0025875498935670994,3
k64__C36,64,36,1.0160194032810577,0.7459811574649526,0.0018566770472021813,0.2700382458161051,0.003872033390769528,3
k64__C40,64,40,1.0143143519393298,0.7453948381469365,0.003048890898187968,0.2689195137923934,0.003669037332540882,3
k64__C48,64,48,1.0133196946151655,0.744746934674446,0.0016532459892003592,0.2685727599407195,0.0034894628537074875,3
k80__C16,80,16,1.0147454747006863,0.7468050189679906,0.003084908785948064,0.2679404557326958,0.00106237273064918,3
k80__C20,80,20,1.0117452779375613,0.744570852982409,0.005575318200535747,0.26717442495515226,0.0023499701917809824,3
k80__C24,80,24,1.00971968274562,0.7406567196097121,0.0013678171114969095,0.269062963135908,0.004326450740701841,3
k80__C28,80,28,1.0106278953302676,0.7426404007871414,0.0035992705052956733,0.26798749454312626,0.004264069503799314,3
k80__C32,80,32,1.0128695293501582,0.7433762542366096,0.0037095762342975462,0.26949327511354865,0.004424302722660882,3
k80__C36,80,36,1.0169575059227831,0.746713043614593,0.002009569119654904,0.27024446230819016,0.004188680822106083,3
k80__C40,80,40,1.0159652194953452,0.7464827949350837,0.002218610589658938,0.26948242456026145,0.003539582987470544,3
k80__C48,80,48,1.013679182117575,0.7450995797069769,0.0014465717116671421,0.26857960241059814,0.0032214428550300434,3
k96__C16,96,16,1.0148655913109665,0.7473481678732811,0.0035296763952178873,0.26751742343768553,0.001127998306156745,3
