run_id,kind,param,value,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,num_trials
lambda_H__0p1,sensitivity,lambda_H,0.1,0.738934576178489,0.0013715292795092567,0.2629674147901386,0.0026549583568418115,3
lambda_H__0p2,sensitivity,lambda_H,0.2,0.738951007245006,0.0014493181161781901,0.26294104369810456,0.00261250410012097,3
lambda_H__0p5,sensitivity,lambda_H,0.5,0.7401021285624373,0.0011278563772649378,0.2605758413106827,0.001937430627244876,3
lambda_H__0p8,sensitivity,lambda_H,0.8,0.6799564784121707,0.012460622501846375,0.1804425444646813,0.014315651234599524,3
lambda_H__1p2,sensitivity,lambda_H,1.2,0.6893492748797456,0.008557404314884533,0.1931939736389374,0.004373271181418532,3
lambda_H__1p5,sensitivity,lambda_H,1.5,0.6957175253764181,0.00553547546436613,0.19749401833725053,0.002666760710742011,3
lambda_bal__0,sensitivity,lambda_bal,0,0.7389068210092451,0.0014249597598213716,0.26287539826017187,0.002589611674371964,3
lambda_bal__0p005,sensitivity,lambda_bal,0.005,0.7387080811854311,0.0014406202820602542,0.26283894603705776,0.0025770317129056638,3
lambda_bal__0p02,sensitivity,lambda_bal,0.02,0.7388094163550055,0.0013252922176873274,0.2628538506956233,0.0025625295165003815,3
lambda_bal__0p05,sensitivity,lambda_bal,0.05,0.7386342967489247,0.0013923998073882456,0.26281868520160573,0.002584425396367243,3
lambda_bal__0p1,sensitivity,lambda_bal,0.1,0.7386893488893477,0.0013794097754957484,0.26282973482491073,0.0025855939762831795,3
num_clusters__12,sensitivity,num_clusters,12,0.739117976705231,0.001712847685604976,0.26268141324991495,0.003065579651725343,3
num_clusters__16,sensitivity,num_clusters,16,0.7384861961168477,0.0018011192516739721,0.2625890723271144,0.0029444536433555933,3
num_clusters__20,sensitivity,num_clusters,20,0.7388130653984238,0.00147926841879186,0.26275330375945677,0.0029506179313273863,3
num_clusters__24,sensitivity,num_clusters,24,0.7391332362063676,0.0015279370150344438,0.2629058816336384,0.002764881428445886,3
num_clusters__32,sensitivity,num_clusters,32,0.7388260360825063,0.0013447012509993385,0.26298310633838623,0.0026221284297029087,3
num_clusters__36,sensitivity,num_clusters,36,0.7388612258568389,0.0014495901984844834,0.2629881515275336,0.0025687482820323172,3
num_clusters__40,sensitivity,num_clusters,40,0.738996018209272,0.0014753388253132284,0.2629514013251973,0.0025861816621099336,3
num_hops__1,sensitivity,num_hops,1,0.7241055107847624,0.0017890626496271545,0.2334078835966087,0.0029106444993048934,3
num_hops__2,sensitivity,num_hops,2,0.7364525406468915,0.0016716361794403096,0.25909687286995425,0.002742820878710351,3
num_hops__4,sensitivity,num_hops,4,0.738960689816055,0.0011143949634068596,0.26419957776388064,0.0027644698878343797,3
num_hops__5,sensitivity,num_hops,5,0.7382059382556232,0.0013955404897215758,0.2640680159933793,0.0028271812584302926,3
num_hops__6,sensitivity,num_hops,6,0.7373326622188419,0.001271274255102058,0.2634843522976444,0.003195299406199813,3
tau_s__0p02,sensitivity,tau_s,0.02,0.7386097315224744,0.001431524172868058,0.2631877475685219,0.002848503674384951,3
tau_s__0p03,sensitivity,tau_s,0.03,0.7387405504056958,0.0013638641080107024,0.26310991165047376,0.0027617379115670317,3
tau_s__0p08,sensitivity,tau_s,0.08,0.7389402201949699,0.0012568712733513245,0.2626681450691215,0.0024689208047450496,3
