trial,dataset,community,hard_size,hard_share,soft_mass,soft_share,hard_anomaly_rate,soft_anomaly_rate,anomaly_lift,risk_tier,mean_total_score,mean_adhesion_score,mean_context_score,mean_context_raw,mean_assignment_prob_hard,prototype_norm,top_nodes_by_score
0,weibo,21,3,0.0003569303985722784,191.07762145996094,0.022733803861982264,0.0,0.07615749378935084,0.7374466827464695,low-risk,-0.08342189341783524,-0.08859095722436905,0.2584529221057892,0.041550230234861374,0.04367681220173836,0.2869589328765869,1502;6020;1141
0,weibo,23,24,0.0028554431885782273,212.3206329345703,0.025261229379484867,0.125,0.0751961540609259,0.7281378575942099,low-risk,-0.09564950317144394,-0.0956852063536644,0.001784851192496717,0.02228562720119953,0.0337451808154583,0.360103964805603,2506;1998;4595;4281;337
0,weibo,28,146,0.01737061273051755,213.2811279296875,0.02537550599996282,0.0,0.0751251554718026,0.7274503655113759,low-risk,-0.04237241670489311,-0.04179414361715317,-0.028913909569382668,0.019981486722826958,0.08142542093992233,0.7535081505775452,684;5055;883;217;7355
0,weibo,24,36,0.004283164782867341,194.12466430664062,0.023096331267892994,0.2222222238779068,0.07466338279544249,0.722978937797294,low-risk,-0.08348008990287781,-0.08552472293376923,0.1022319421172142,0.02982483059167862,0.04611442983150482,0.2883041203022003,6038;7735;6646;7130;3232
0,weibo,17,48,0.005710886377156455,191.8363494873047,0.022824074894384854,0.2708333432674408,0.07421758702805822,0.7186622173607043,low-risk,-0.09807497262954712,-0.09429043531417847,-0.18922686576843262,0.007948962040245533,0.03681902214884758,0.2788829207420349,3038;1602;7316;5504;3082
0,weibo,10,20,0.002379535990481856,189.81532287597656,0.02258361961641601,0.75,0.07395669007608208,0.7161359053433257,low-risk,-0.09734936058521271,-0.0957682654261589,-0.07905450463294983,0.016218110918998718,0.03371655195951462,0.2935197949409485,2364;7311;3119;7437;2971
0,weibo,30,58,0.006900654372397383,208.4838409423828,0.02480474014781473,0.03448275849223137,0.07352467193523957,0.7119525961376444,low-risk,-0.07960393279790878,-0.07915276288986206,-0.022557677701115608,0.020458562299609184,0.04417867958545685,0.3370455205440521,1896;5868;7114;803;2630
0,weibo,4,38,0.004521118381915526,189.92413330078125,0.02259656553251413,0.0,0.07351843097607173,0.7118921638097608,low-risk,-0.09645621478557587,-0.09234952181577682,-0.2053343504667282,0.006739992648363113,0.0401279591023922,0.31259700655937195,6565;5376;4044;3808;3368
0,weibo,2,14,0.0016656751933372992,184.7788848876953,0.021984400343568748,0.1428571492433548,0.073236688910653,0.7091640048171886,low-risk,0.05044475942850113,0.0428578145802021,0.3793470859527588,0.05062411352992058,0.07221163809299469,0.2857894003391266,5439;561;77;4789;2602
0,weibo,16,11,0.0013087447947650209,185.1803741455078,0.022032168250506582,0.27272728085517883,0.07286504237282898,0.7055652846803284,low-risk,0.03617174178361893,0.02079496532678604,0.7688396573066711,0.07985806465148926,0.08171895146369934,0.262464702129364,2676;3779;5370;1313;1277
0,weibo,18,22,0.0026174895895300417,221.6324005126953,0.026369113683842392,0.0,0.0718373733281854,0.6956141808529122,low-risk,-0.09800589084625244,-0.09391770511865616,-0.2044084519147873,0.0068094851449131966,0.04130270332098007,0.34916189312934875,1072;1957;3969;3997;1687
0,weibo,3,1,0.0001189767995240928,198.11553955078125,0.02357115283174078,0.0,0.07168088511399058,0.6940988773849949,low-risk,0.15454944968223572,0.11572325974702835,1.9413093328475952,0.1678594946861267,0.11386888474225998,0.2994702458381653,5463
0,weibo,25,7,0.0008328375966686496,187.79376220703125,0.022343100797981113,0.0,0.07128979361758313,0.6903118682237722,low-risk,0.8560263514518738,0.8114098906517029,2.230822801589966,0.18958933651447296,0.23097574710845947,0.36117827892303467,4013;2319;5294;4402;3251
0,weibo,33,2,0.0002379535990481856,185.68356323242188,0.022092036077623067,0.0,0.07079984617430171,0.6855676191841785,low-risk,-0.09227237105369568,-0.09020525217056274,-0.10335585474967957,0.014394138008356094,0.03872440382838249,0.2826787233352661,3978;3430
0,weibo,6,4,0.0004759071980963712,196.51539611816406,0.02338077288734849,0.0,0.07075845665961945,0.6851668370840304,low-risk,-0.09698645770549774,-0.09405362606048584,-0.14664208889007568,0.01114522572606802,0.034689221531152725,0.28985148668289185,1728;5503;4821;1117
0,weibo,1,87,0.010350981558596074,208.76931762695312,0.024838705250083654,0.3218390941619873,0.07070281242937754,0.6846280240143752,low-risk,0.007107258308678865,0.0016968937125056982,0.2705179750919342,0.04245579242706299,0.06101823225617409,0.4212726056575775,6637;4016;4939;444;1575
0,weibo,34,27,0.0032123735871505054,197.89752197265625,0.02354521379805547,0.18518517911434174,0.07067883952670741,0.6843958900946484,low-risk,-0.09473861008882523,-0.09341953694820404,-0.06595345586538315,0.017201431095600128,0.04321194067597389,0.2963741719722748,1699;3559;8051;1800;2446
0,weibo,26,9,0.0010707911957168353,191.35873413085938,0.02276724974787143,0.3333333432674408,0.07065605057982731,0.6841752206313583,low-risk,-0.08768139034509659,-0.08882433921098709,0.05714718624949455,0.026440929621458054,0.04294070228934288,0.28807705640792847,3959;6079;2363;7595;1523
0,weibo,13,10,0.001189767995240928,182.98643493652344,0.0217711403850712,0.20000000298023224,0.06977024103732682,0.6755977678271866,low-risk,0.0031361952424049377,-0.008777428418397903,0.5956813097000122,0.06686139851808548,0.06627373397350311,0.2847829759120941,3112;5276;6577;1834;2973
0,weibo,31,44,0.0052349791790600834,202.38601684570312,0.02407924055273089,0.20454545319080353,0.06898737227575583,0.6680171090827797,low-risk,0.4249080419540405,0.4048253297805786,1.0041370391845703,0.09751866012811661,0.1730189472436905,0.750989556312561,7295;5577;5618;3572;3036
0,weibo,12,31,0.003688280785246877,203.3599090576172,0.024195111131185863,0.032258063554763794,0.06888410446059509,0.6670171482918508,low-risk,0.16384048759937286,0.1629829853773117,0.04287642613053322,0.025369815528392792,0.06203591451048851,0.3824309706687927,7979;7035;5852;3157;2455
0,weibo,5,2,0.0002379535990481856,212.97535705566406,0.025339126359983827,0.0,0.06868033591082194,0.6650440208476375,low-risk,-0.09921018779277802,-0.09474846720695496,-0.22308588027954102,0.005407624877989292,0.03149129077792168,0.34757089614868164,7483;8125
0,weibo,35,15,0.001784651992861392,196.67413330078125,0.023399658929301754,0.06666667014360428,0.06837486180344085,0.6620860602328067,low-risk,-0.050714362412691116,-0.05617198720574379,0.272881418466568,0.04263317957520485,0.07295981049537659,0.32405009865760803,3994;1692;5434;3378;889
0,weibo,15,106,0.012611540749553837,232.00486755371094,0.027603196615551568,0.028301887214183807,0.06757140562267486,0.6543060498128619,low-risk,0.12383488565683365,0.10284685343503952,1.049400806427002,0.10091599076986313,0.5097125172615051,3.3487281799316406,5984;5523;2017;4196;6427
0,weibo,7,208,0.024747174301011303,259.5567321777344,0.03088122928943895,0.09134615212678909,0.067514999445042,0.6537598586698495,low-risk,0.02828146331012249,0.014184612780809402,0.7048428654670715,0.07505469024181366,0.2771461308002472,3.2153453826904297,6115;1811;3425;7485;1938
0,weibo,19,26,0.003093396787626413,212.4654083251953,0.025278454292111282,0.0,0.06652497882268112,0.6441733112733449,low-risk,0.44933605194091797,0.411263644695282,1.9036228656768799,0.16503089666366577,0.4122268557548523,1.2400637865066528,4838;3508;4041;7843;2599
1,weibo,21,7250,0.8625817965496728,1597.84326171875,0.19010627742043426,0.09255172312259674,0.22659067436126606,2.1941181732055193,high-risk,-0.012304158881306648,-0.010953295044600964,-0.06754326820373535,0.017838964238762856,0.2185620665550232,2.9712343215942383,6817;7295;2696;1454;2109
1,weibo,17,87,0.010350981558596074,200.10801696777344,0.02380821141793854,0.39080458879470825,0.12364663521184348,1.1972925635124687,baseline-risk,0.07445988804101944,0.055952198803424835,0.9253845810890198,0.0848427414894104,0.1706121861934662,0.9799214601516724,953;1409;8025;783;515
1,weibo,7,24,0.0028554431885782273,206.37600708007812,0.024553956820949213,0.5833333134651184,0.11592156285314013,1.122489301201087,baseline-risk,0.9165038466453552,0.8930954933166504,1.1704201698303223,0.10137798637151718,0.667657196521759,2.1012156009674072,2303;3734;4045;1041;5359
1,weibo,24,44,0.0052349791790600834,187.6804656982422,0.022329621141968136,0.8409090638160706,0.0937802570164977,0.9080910623873228,baseline-risk,0.841264545917511,0.8312090039253235,0.5027720928192139,0.05632442608475685,0.09151041507720947,1.1607487201690674,5731;2925;4114;3965;3875
1,weibo,26,25,0.00297441998810232,191.41734313964844,0.022774222860160433,0.6399999856948853,0.0884693299780808,0.8566644025549752,baseline-risk,0.6021689772605896,0.5984057784080505,0.1881634145975113,0.035094309598207474,0.10172563791275024,0.9237721562385559,5588;6826;6056;3536;3941
